Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Warrior,せんし
Thief,とうぞく
Tanker,タンカー
WarriorDesc,せんしです
ThiefDesc,とうぞくです
TankerDesc,タンカーです
Attack,こうげき
Deffense,ぼうえい
NAME,이름2
DESC,설명2
TYPE,타입2
VALUE,밸류2
COST,코스트2
WEAPON,무기2
EQUIP,장비2
CONSUMABLE,소모품2
SAVE,ちょぞう
LOAD,呼び出し
ADDITEM,ついかする
REMOVEITEM, さくじょ
CreationTimeAsscding,날짜 (しょうじゅん)
CreationTimeDeccending,날짜 (こうじゅん)
NameAccending,이름 (しょうじゅん)
NameDeccending,이름 (こうじゅん)
CostAccending,코스트 (J오름P)
CostDeccending,코스트 (J내림P)
ValueAccending,밸류 (J오름P)
ValueDeccending,밸류 (J내림P)
None,없음J
Weapon,무기J
Equip,장비J
Consumable,소모품J
NonConsumable,비소모품J
